StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,prolific_id,gender,age,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,look_after_health_1,checkup,smoker,environment_1,Q85_1,Q60_1,children,age_first_child_1,breastfeed_yesno,breastfeed_length_1,ideal_age_1,parents_dead,parent1_age_1,parent1_age_2,parent1_control_1,parent1_close_1,parent2_age_1,parent2_age_2,parent2_control_1,parent2_close_1,gp_dead,gp1_age_1,gp1_age_2,gp1_control_1,gp1_close_1,gp2_age_1,gp2_age_2,gp2_control_1,gp2_close_1,gp3_age_1,gp3_age_2,gp3_control_1,gp3_close_1,gp4_age_1,gp4_age_2,gp4_control_1,gp4_close_1,stress,subjective_SES_1,subjective_SES_2,subjective_SES_3,subjective_SES_4,subjective_SES_5,subjective_SES_6,subjective_SES_7,subjective_SES_8,subjective_SES_9,subjective_SES_10,income_1,household_1,attention_fruit,attention_smoker,attention_4_1,PROLIFIC_PID,prolific_id - Parent Topics,prolific_id - Topics
2020-12-30 19:29:34,2020-12-30 19:39:38,IP Address,81.129.128.116,100,603,True,2020-12-30 19:39:38,R_2ZHwnVy3TYIIEjr,,,,,50.8090057373046875,-2.739105224609375,anonymous,EN-GB,"Yes, I consent to participate.",5872a842db3e720001e231a5,Female,40,Today,,,,,,,,,,,,,,,,Today,Today,,,,Today,Today,,,,,,,,,82,Within the last 2 years,No,50,21,50,Yes,19,Yes,6,,Yes,,,,,,,,,"No, two are dead.",Grandfather 1,Don't know,72,21,Grandfather 2,Don't know,61,29,,,,,,,,,Frequently,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,"£60,000 - £74,999",7,Strongly agree,No,4,5872a842db3e720001e231a5,,
2020-12-30 19:29:39,2020-12-30 19:39:38,IP Address,92.0.247.228,100,598,True,2020-12-30 19:39:38,R_10SG9gFyneULqxn,,,,,53.36810302734375,-1.3762054443359375,anonymous,EN-GB,"Yes, I consent to participate.",5adae3ebdec767000128c131,Female,57,Today,,,,,,,,,,,,,,,,Today,Today,,,,Today,Today,,,,,,,,,81,Within the last 3 years,No,60,19,70,Yes,24,No,,,No: one is dead,Father,79,10,100,,,,,"No, all four are dead.",Grandfather 1,75,60,19,Grandmother 1,84,20,100,Grandfather 2,86,20,90,Grandmother 2,>90,0,90,Frequently,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,"£30,000 - £39,999",3,Strongly agree,No,10,5adae3ebdec767000128c131,,
2020-12-30 19:32:32,2020-12-30 19:39:42,IP Address,5.67.94.212,100,430,True,2020-12-30 19:39:43,R_3htnRIdx4WUlVWz,,,,,52.4994049072265625,-2.018798828125,anonymous,EN-GB,"Yes, I consent to participate.",5f96132513c16a4e32aa62d6,Female,41,Today,,,,,,,,,,,,,,,,Today,In 12 months,Today,In 12 months,,,,,,,,,,,,27,Within the past year,No,16,60,72,Yes,28,Yes,4,,No: one is dead,Mother,63,80,96,,,,,"No, all four are dead.",Grandfather 1,72,23,80,Grandmother 1,74,82,81,Grandfather 2,85,50,53,Grandmother 2,85,60,60,Frequently,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,"£20,000 - £29,999",6,Strongly agree,No,4,5f96132513c16a4e32aa62d6,,
2020-12-30 19:31:49,2020-12-30 19:40:00,IP Address,86.21.121.85,100,490,True,2020-12-30 19:40:00,R_2QmuSs49TUFsDk9,,,,,53.4158935546875,-2.184295654296875,anonymous,EN-GB,"Yes, I consent to participate.",5fb43900cb7a480d00497dd0,Female,58,In 12 months,In 12 months,In 12 months,Today,,Today,,,,,,,,,,,,,,,,,,,,,,,,,,74,Within the last 5 years,No,68,67,86,Yes,30,Yes,3,,No: both are dead,Mother,81,4,88,Father,83,3,75,"No, all four are dead.",Grandmother 1,80,6,54,Grandmother 2,53,4,0,Grandfather 1,55,1,0,Grandfather 2,50,2,0,Rarely,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,"£60,000 - £74,999",2,Strongly agree,No,9,5fb43900cb7a480d00497dd0,,
2020-12-30 19:35:21,2020-12-30 19:40:00,IP Address,85.211.180.40,100,279,True,2020-12-30 19:40:01,R_1Hk51b7SiUP4bVs,,,,,53.460601806640625,-2.2572021484375,anonymous,EN-GB,"Yes, I consent to participate.",5ca4ea4e73897b0015de412a,Female,57,Today,,,,,,,,,,,,,,,,Today,Today,,,,Today,Today,,,,,,,,,72,Within the past year,No,71,90,86,Yes,31,Yes,3,,Yes,,,,,,,,,"No, all four are dead.",Grandfather 1,59,9,8,Grandfather 2,60,8,61,Grandmother 1,89,19,72,Grandmother 2,>90,10,71,Very rarely,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,"£16,000 - £19,999",1,Strongly agree,No,4,5ca4ea4e73897b0015de412a,,
2020-12-30 19:35:24,2020-12-30 19:40:06,IP Address,92.12.222.29,100,281,True,2020-12-30 19:40:06,R_1LZOtH6jZTR5yTv,,,,,53.478302001953125,-2.139404296875,anonymous,EN-GB,"Yes, I consent to participate.",5eb741079eb7cb65f0f82a91,Female,19,Today,,,,,,,,,,,,,,,,Today,Today,,,,Today,Today,,,,,,,,,71,Within the past year,No,68,40,86,No,,,,27,Yes,,,,,,,,,"No, three are dead.",Grandmother 1,67,1,0,Grandfather 1,70,2,0,Grandfather 2,59,4,0,,,,,Occasionally,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,"£20,000 - £29,999",5,Strongly agree,No,4,5eb741079eb7cb65f0f82a91,,
2020-12-30 19:29:33,2020-12-30 19:40:15,IP Address,2.219.98.167,100,641,True,2020-12-30 19:40:15,R_1HjfMa644VYzMyH,,,,,51.5,-0.466705322265625,anonymous,EN-GB,"Yes, I consent to participate.",58fb7a774e38a40001b8bed4,Female,41,Today,,,,,,,,,,,,,,,,Today,In 12 months,In 12 months,,In 12 months,,,,,,,,,,,72,Within the past year,Yes,85,81,51,Yes,36,Yes,3,,Yes,,,,,,,,,"No, all four are dead.",Grandfather 1,72,78,93,Grandmother 1,78,53,97,Grandfather 2,70,65,0,Grandmother 2,82,46,6,Frequently,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,"£20,000 - £29,999",4,Strongly agree,Yes,4,58fb7a774e38a40001b8bed4,,
2020-12-30 19:31:32,2020-12-30 19:40:17,IP Address,31.125.15.84,100,524,True,2020-12-30 19:40:17,R_3j3rNKeJLJjKOoy,,,,,51.4053955078125,-0.0438995361328125,anonymous,EN-GB,"Yes, I consent to participate.",5eafda3aea17ac011b0aa021,Female,39,Today,,,,,,,,,,,,,,,,Today,In 12 months,Today,Today,,,,,,,,,,,,71,Within the last 10 years,No,50,29,100,Yes,35,Yes,24,,Yes,,,,,,,,,"No, all four are dead.",Grandfather 1,64,71,92,Grandmother 1,75,19,100,Grandmother 2,82,20,100,Grandfather 2,80,19,100,Occasionally,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,"£30,000 - £39,999",3,Strongly agree,No,4,5eafda3aea17ac011b0aa021,,
2020-12-30 19:36:42,2020-12-30 19:40:31,IP Address,95.145.4.185,100,229,True,2020-12-30 19:40:31,R_1Hjkw0Km2UDGsEF,,,,,51.531402587890625,-0.1703033447265625,anonymous,EN-GB,"Yes, I consent to participate.",5f8eeaf9bc748a0af999b20f,Male,35,In 12 months,Today,,,,,,,,Today,,,,In 12 months,In 12 months,,,,,,,,,,,,,,,,,85,Within the last 2 years,No,76,79,77,No,,,,38,Yes,,,,,,,,,"No, all four are dead.",Grandfather 1,57,78,0,Grandfather 2,72,65,89,Grandmother 1,83,71,100,Grandmother 2,90,70,6,Very frequently,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,"£30,000 - £39,999",1,Strongly agree,No,4,5f8eeaf9bc748a0af999b20f,,
2020-12-30 19:36:35,2020-12-30 19:40:37,IP Address,146.200.106.245,100,241,True,2020-12-30 19:40:37,R_ugifRIjwE5SlowV,,,,,53.48089599609375,-2.237396240234375,anonymous,EN-GB,"Yes, I consent to participate.",5fd01e5ec037110779ee46ed,Male,28,Today,,,,,,,,,,,,,,,,In 12 months,,,,,,,,Today,,,,In 12 months,In 12 months,,40,Within the last 5 years,No,75,50,90,No,,,,35,Yes,,,,,,,,,"No, all four are dead.",Grandfather 1,44,70,0,Grandfather 2,48,90,0,Grandmother 1,80,30,70,Grandmother 2,80,5,90,Frequently,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,"£40,000 - £49,999",2,Strongly agree,No,4,5fd01e5ec037110779ee46ed,,
2020-12-30 19:23:50,2020-12-30 19:40:42,IP Address,82.5.132.210,100,1012,True,2020-12-30 19:40:43,R_3NOpQxFUI3ShQtD,,,,,52.478302001953125,-0.7136993408203125,anonymous,EN-GB,"Yes, I consent to participate.",5ef3dd303bad3a1816832a54,Male,29,In 12 months,In 12 months,In 12 months,Today,,Today,,,,,,,,,,,,,,,,,,,,,,,,,,30,Within the last 2 years,No,33,31,39,No,,,,31,Yes,,,,,,,,,"No, one is dead",Grandfather 1,21,8,29,,,,,,,,,,,,,Frequently,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,"£16,000 - £19,999",3,Strongly agree,No,4,5ef3dd303bad3a1816832a54,,
2020-12-30 19:33:42,2020-12-30 19:40:43,IP Address,86.0.154.49,100,420,True,2020-12-30 19:40:43,R_RtsmL2mfEuFnWNj,,,,,52.463592529296875,-1.79119873046875,anonymous,EN-GB,"Yes, I consent to participate.",592220f8fc043000016c5aeb,Male,33,Today,,,,,,,,,,,,,,,,Today,Today,,,,Today,Today,,,,,,,,,75,Within the last 3 years,Yes,60,60,40,Yes,24,,,,Yes,,,,,,,,,"No, two are dead.",Grandmother 1,85,20,70,Grandfather 1,79,30,75,,,,,,,,,Very rarely,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,"£20,000 - £29,999",4,Strongly agree,Yes,4,592220f8fc043000016c5aeb,,
2020-12-30 19:35:24,2020-12-30 19:40:55,IP Address,151.225.71.8,100,330,True,2020-12-30 19:40:56,R_3em1XtvGJesOVbP,,,,,52.6280975341796875,1.28619384765625,anonymous,EN-GB,"Yes, I consent to participate.",58ce8ad7444ade000102461d,Female,56,Today,,,,,,,,,,,,,,,,Today,Today,,,,Today,In 12 months,,,,,,,,,83,Within the past year,No,55,35,74,No,,,,29,No: both are dead,Mother,47,55,71,Father,72,86,32,"No, all four are dead.",Grandmother 1,79,55,13,Grandfather 1,86,30,17,Grandmother 2,62,59,2,Grandfather 2,71,65,0,Occasionally,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,"£40,000 - £49,999",2,Strongly agree,No,4,58ce8ad7444ade000102461d,,
2020-12-30 19:27:35,2020-12-30 19:40:57,IP Address,81.104.103.64,100,801,True,2020-12-30 19:40:57,R_32XxgVTgvjzaAOC,,,,,52.61810302734375,-1.1804046630859375,anonymous,EN-GB,"Yes, I consent to participate.",5fc69f1cfaa60a000c4f7ae7,Male,30,Today,,,,,,,,,,,,,,,,Today,In 12 months,Today,Today,,,,,,,,,,,,85,Within the last 2 years,No,95,95,90,No,,,,25,Yes,,,,,,,,,"No, one is dead",Grandfather 1,72,0,98,,,,,,,,,,,,,Rarely,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,"£10,000 - £15,999",5,Strongly agree,No,10,5fc69f1cfaa60a000c4f7ae7,,
2020-12-30 19:35:37,2020-12-30 19:40:59,IP Address,86.165.104.21,100,322,True,2020-12-30 19:41:00,R_22XndTlKaqC4Htq,,,,,55.6217041015625,-4.667694091796875,anonymous,EN-GB,"Yes, I consent to participate.",5e7dd3c637169a46d7b4d03f,Male,25,In 12 months,In 12 months,In 12 months,In 12 months,In 12 months,,,,,,,,,,,,,,,,,,,,,,,,,,,85,Within the last 2 years,No,23,18,91,No,,,,32,Yes,,,,,,,,,"No, three are dead.",Grandfather 1,70,28,0,Grandmother 1,78,24,0,Grandfather 2,88,33,81,,,,,Occasionally,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,"£60,000 - £74,999",3,Strongly agree,No,4,5e7dd3c637169a46d7b4d03f,,
2020-12-30 19:32:16,2020-12-30 19:41:11,IP Address,82.21.45.155,100,534,True,2020-12-30 19:41:11,R_268gMBY3rAWq3o5,,,,,53.540496826171875,-2.1183013916015625,anonymous,EN-GB,"Yes, I consent to participate.",5da65387a9dcad0015d87d8c,Female,42,Today,,,,,,,,,,,,,,,,Today,Today,,,,Today,Today,,,,,,,,,31,Within the last 2 years,Yes,40,0,50,No,,,,28,No: one is dead,Mother,72,70,100,,,,,"No, all four are dead.",Grandmother 1,76,78,68,Grandmother 2,78,81,73,Grandfather 1,74,82,58,Grandfather 2,72,79,53,Frequently,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,"£30,000 - £39,999",2,Strongly agree,Yes,4,5da65387a9dcad0015d87d8c,,
2020-12-30 19:33:19,2020-12-30 19:41:19,IP Address,79.68.165.162,100,479,True,2020-12-30 19:41:19,R_3EBg8IlW0tbnRj2,,,,,52.2776947021484375,-0.828399658203125,anonymous,EN-GB,"Yes, I consent to participate.",5c9a111a626e810018cda632,Male,54,In 12 months,In 12 months,In 12 months,Today,,In 12 months,,,,,,,,,,,,,,,,,,,,,,,,,,70,Within the last 5 years,Yes,60,20,80,Yes,40,,,,Yes,,,,,,,,,"No, all four are dead.",Grandmother 1,68,0,80,Grandmother 2,78,30,63,Grandfather 2,79,81,60,Grandfather 1,88,9,92,Frequently,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,"£20,000 - £29,999",1,Strongly agree,Yes,4,5c9a111a626e810018cda632,,
2020-12-30 19:33:45,2020-12-30 19:41:32,IP Address,89.45.183.176,100,467,True,2020-12-30 19:41:32,R_3Nx34YJSijf08Fl,,,,,51.502593994140625,-0.0659942626953125,anonymous,EN-GB,"Yes, I consent to participate.",59e78ed5d838ae0001850bde,Male,51,Today,,,,,,,,,,,,,,,,In 12 months,,,,,,,,Today,,,,In 12 months,In 12 months,,78,Within the last 2 years,No,33,80,78,Yes,22,,,,No: one is dead,Father,73,74,76,,,,,"No, all four are dead.",Grandfather 1,63,87,0,Grandmother 1,65,83,0,Grandmother 2,76,17,35,Grandfather 2,85,13,74,Occasionally,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,"Less than £10,000",1,Strongly agree,No,4,59e78ed5d838ae0001850bde,,
2020-12-30 19:31:52,2020-12-30 19:41:35,IP Address,2.127.112.32,100,583,True,2020-12-30 19:41:36,R_2SoCCvLuIDt8UGA,,,,,53.505096435546875,-2.161895751953125,anonymous,EN-GB,"Yes, I consent to participate.",5ee68764ac22810cd0fa60fc,Male,51,Today,,,,,,,,,,,,,,,,Today,In 12 months,In 12 months,,In 12 months,,,,,,,,,,,40,Within the last 5 years,No,80,50,70,Yes,44,,,,No: one is dead,Father,66,10,90,,,,,"No, all four are dead.",Grandmother 1,>90,80,91,Grandfather 1,45,30,0,Grandfather 2,77,50,9,Grandmother 2,Rather not say,0,0,Occasionally,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,"£30,000 - £39,999",4,Strongly agree,No,4,5ee68764ac22810cd0fa60fc,,
2020-12-30 19:31:21,2020-12-30 19:41:36,IP Address,92.40.185.39,100,614,True,2020-12-30 19:41:36,R_1esGnusH40AM76x,,,,,51.49639892578125,-0.122406005859375,anonymous,EN-GB,"Yes, I consent to participate.",5c5898e49fcbc40001dcbc42,Male,58,Today,,,,,,,,,,,,,,,,Today,In 12 months,Today,Today,,,,,,,,,,,,81,Within the last 2 years,No,50,30,86,No,,,,27,No: both are dead,Father,72,80,71,Mother,73,50,80,"No, all four are dead.",Grandmother 1,70,73,29,Grandmother 2,70,59,25,Grandfather 1,70,50,0,Grandfather 2,70,75,9,Rarely,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,"£10,000 - £15,999",1,Strongly agree,No,4,5c5898e49fcbc40001dcbc42,,
2020-12-30 19:36:01,2020-12-30 19:41:40,IP Address,188.31.237.5,100,339,True,2020-12-30 19:41:41,R_1QaU11nOBAcCFxo,,,,,50.7346954345703125,-1.8325042724609375,anonymous,EN-GB,"Yes, I consent to participate.",5e3f1dc0c1937417bd522779,Female,36,In 12 months,In 12 months,In 12 months,In 12 months,Today,,,,,,,,,,,,,,,,,,,,,,,,,,,80,Within the past year,No,70,0,100,No,,,,36,Yes,,,,,,,,,"No, all four are dead.",Grandfather 1,55,100,0,Grandfather 2,60,50,10,Grandmother 1,73,75,100,Grandmother 2,80,60,0,Rarely,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,"£75,000 - £99,999",2,Strongly agree,No,4,5e3f1dc0c1937417bd522779,,
2020-12-30 19:34:53,2020-12-30 19:41:46,IP Address,81.153.134.226,100,412,True,2020-12-30 19:41:46,R_bfnBZCTeurTTdi9,,,,,56.3618011474609375,-3.32220458984375,anonymous,EN-GB,"Yes, I consent to participate.",5feb9112ebffe47a6449ddbc,Male,35,In 12 months,In 12 months,Today,,,,Today,In 12 months,,,,,,,,,,,,,,,,,,,,,,,,75,Within the last 5 years,No,82,74,95,Yes,33,,,,Yes,,,,,,,,,"No, all four are dead.",Grandfather 1,68,78,0,Grandfather 2,90,15,86,Grandmother 2,>90,10,87,Grandmother 1,86,26,60,Frequently,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,"£40,000 - £49,999",3,Strongly agree,No,4,5feb9112ebffe47a6449ddbc,,
2020-12-30 19:35:38,2020-12-30 19:41:48,IP Address,2.220.165.247,100,370,True,2020-12-30 19:41:49,R_3iQlJxxsijPcw7p,,,,,51.453094482421875,-0.0137939453125,anonymous,EN-GB,"Yes, I consent to participate.",5d2a1b1a4588590018cf6fd4,Female,39,Today,,,,,,,,,,,,,,,,In 12 months,,,,,,,,Today,,,,Today,,In 12 months,40,Within the past year,Yes,65,70,60,No,,,,35,Yes,,,,,,,,,"No, three are dead.",Grandfather 1,65,81,12,Grandmother 2,63,81,66,Grandfather 2,80,47,0,,,,,Frequently,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,"£50,000 - £59,999",2,Strongly agree,Yes,4,5d2a1b1a4588590018cf6fd4,,
2020-12-30 19:24:15,2020-12-30 19:41:50,IP Address,85.211.177.171,100,1054,True,2020-12-30 19:41:50,R_1ON35PZ7sUQL0Ey,,,,,53.460601806640625,-2.2572021484375,anonymous,EN-GB,"Yes, I consent to participate.",5f91eda8210fe30e4effc029,Female,31,In 12 months,Today,,,,,,,,In 12 months,In 12 months,Today,,,,,,,,,,,,,,,,,,,,90,Within the last 2 years,No,80,70,70,Yes,26,Yes,5,,No: one is dead,Father,70,50,80,,,,,"No, all four are dead.",Grandmother 1,50,10,0,Grandmother 2,80,0,80,Grandfather 1,35,50,0,Grandfather 2,65,71,72,Occasionally,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,"£40,000 - £49,999",4,Strongly agree,No,4,5f91eda8210fe30e4effc029,,
2020-12-30 19:31:42,2020-12-30 19:41:54,IP Address,86.161.2.203,100,612,True,2020-12-30 19:41:55,R_Qj4AMht08YkgTq9,,,,,51.9221954345703125,-2.0509033203125,anonymous,EN-GB,"Yes, I consent to participate.",5e13859753e8469d270982c0,Male,33,In 12 months,In 12 months,In 12 months,Today,,Today,,,,,,,,,,,,,,,,,,,,,,,,,,83,Within the last 2 years,No,81,27,41,No,,,,30,Yes,,,,,,,,,"No, all four are dead.",Grandmother 1,75,0,0,Grandfather 1,65,29,0,Grandmother 2,77,0,0,Grandfather 2,78,29,0,Occasionally,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,"£50,000 - £59,999",4,Strongly agree,No,4,5e13859753e8469d270982c0,,
2020-12-30 19:34:17,2020-12-30 19:41:55,IP Address,86.132.31.68,100,458,True,2020-12-30 19:41:56,R_3sdiGZk5P9WbBoR,,,,,54.9709930419921875,-2.4568023681640625,anonymous,EN-GB,"Yes, I consent to participate.",5d95d2bbd84e9e001607bfea,Female,56,In 12 months,In 12 months,Today,,,,In 12 months,,Today,,,,,,,,,,,,,,,,,,,,,,,52,10 years ago or more,No,52,3,73,No,,,,30,No: both are dead,Father,>90,0,91,Mother,85,27,89,"No, all four are dead.",Grandmother 1,81,5,66,Grandmother 2,83,7,63,Grandfather 1,75,64,62,Grandfather 2,75,51,48,Very frequently,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,"Less than £10,000",2,Strongly agree,No,4,5d95d2bbd84e9e001607bfea,,
2020-12-30 19:33:53,2020-12-30 19:41:59,IP Address,92.22.13.65,100,486,True,2020-12-30 19:41:59,R_C3RsBoeaa9ofc7D,,,,,55.8910064697265625,-4.2881011962890625,anonymous,EN-GB,"Yes, I consent to participate.",59c67a2b21454d000194c0e3,Male,61,Today,,,,,,,,,,,,,,,,In 12 months,,,,,,,,In 12 months,In 12 months,Today,,,,,62,10 years ago or more,No,56,13,84,Yes,29,,,,No: both are dead,Mother,78,20,74,Father,30,100,32,"No, all four are dead.",Grandmother 1,Don't know,50,40,Grandmother 2,Don't know,50,70,Grandfather 1,Don't know,50,11,Grandfather 2,81,32,64,Rarely,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,"£30,000 - £39,999",2,Strongly agree,No,4,59c67a2b21454d000194c0e3,,
2020-12-30 19:35:40,2020-12-30 19:41:59,IP Address,77.103.122.226,100,379,True,2020-12-30 19:41:59,R_PIoc1yIoqaQnXMt,,,,,51.6186981201171875,-0.1154022216796875,anonymous,EN-GB,"Yes, I consent to participate.",5ea552d5838a645292f26cfd,Male,32,In 12 months,In 12 months,In 12 months,In 12 months,In 12 months,,,,,,,,,,,,,,,,,,,,,,,,,,,75,Within the last 2 years,No,69,77,79,No,,,,37,No: one is dead,Father,69,43,100,,,,,"No, all four are dead.",Grandfather 1,67,57,24,Grandfather 2,64,65,60,Grandmother 1,80,66,70,Grandmother 2,81,65,100,Frequently,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,"£40,000 - £49,999",1,Strongly agree,No,4,5ea552d5838a645292f26cfd,,
2020-12-30 19:33:18,2020-12-30 19:42:00,IP Address,188.214.9.31,100,521,True,2020-12-30 19:42:00,R_PGkF76uk37BSjrr,,,,,51.4889984130859375,-0.1696014404296875,anonymous,EN-GB,"Yes, I consent to participate.",5fb290e481c5f08aa5edb30c,Male,32,In 12 months,In 12 months,In 12 months,Today,,Today,,,,,,,,,,,,,,,,,,,,,,,,,,70,Within the last 3 years,No,18,7,83,No,,,,30,No: one is dead,Father,43,71,89,,,,,"No, all four are dead.",Grandmother 1,>90,10,11,Grandmother 2,>90,10,11,Grandfather 1,Don't know,14,0,Grandfather 2,Don't know,0,0,Very rarely,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,"£30,000 - £39,999",1,Strongly agree,No,4,5fb290e481c5f08aa5edb30c,,
2020-12-30 19:34:46,2020-12-30 19:42:12,IP Address,80.189.69.187,100,446,True,2020-12-30 19:42:12,R_2ARNrkhPkSb9nAo,,,,,51.5666961669921875,-1.1985015869140625,anonymous,EN-GB,"Yes, I consent to participate.",5f91bfea8dd0a10787eb412b,Female,30,In 12 months,In 12 months,Today,,,,Today,In 12 months,,,,,,,,,,,,,,,,,,,,,,,,80,Within the past year,No,40,50,90,Yes,29,Yes,6,,Yes,,,,,,,,,"No, three are dead.",Grandfather 1,79,70,0,Grandfather 2,70,90,20,Grandmother 1,81,10,30,,,,,Occasionally,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,"£75,000 - £99,999",3,Strongly agree,No,10,5f91bfea8dd0a10787eb412b,,
2020-12-30 19:37:48,2020-12-30 19:42:17,IP Address,81.146.33.247,100,268,True,2020-12-30 19:42:19,R_1lto2sibMx3g0e1,,,,,51.64849853515625,-0.7801055908203125,anonymous,EN-GB,"Yes, I consent to participate.",58cc4c53efb64f0001359761,Male,35,Today,,,,,,,,,,,,,,,,Today,Today,,,,Today,Today,,,,,,,,,90,Within the past year,No,90,70,100,No,,,,30,Yes,,,,,,,,,"No, three are dead.",Grandmother 1,40,12,0,Grandfather 1,60,62,0,Grandmother 2,75,7,9,,,,,Occasionally,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,"£20,000 - £29,999",2,Strongly agree,No,4,58cc4c53efb64f0001359761,,
2020-12-30 19:37:41,2020-12-30 19:42:19,IP Address,86.149.212.106,100,277,True,2020-12-30 19:42:19,R_xAx7T3Ol4yl3YkN,,,,,51.8052978515625,-0.80859375,anonymous,EN-GB,"Yes, I consent to participate.",5f6d2f9d26f8301af832891c,Male,20,Today,,,,,,,,,,,,,,,,In 12 months,,,,,,,,Today,,,,In 12 months,In 12 months,,60,Within the past year,No,80,90,75,No,,,,30,Yes,,,,,,,,,"No, three are dead.",Grandmother 1,56,40,90,Grandfather 1,Don't know,50,0,Grandfather 2,77,70,80,,,,,Very frequently,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,"£40,000 - £49,999",3,Strongly agree,No,4,5f6d2f9d26f8301af832891c,,
2020-12-30 19:27:53,2020-12-30 19:42:21,IP Address,2.223.190.255,100,868,True,2020-12-30 19:42:21,R_2RV3vm0CY1qduKk,,,,,52.672607421875,-2.4488067626953125,anonymous,EN-GB,"Yes, I consent to participate.",59cbdc1045ca220001197406,Female,35,Today,,,,,,,,,,,,,,,,Today,In 12 months,In 12 months,,Today,,,,,,,,,,,65,Within the last 10 years,No,40,40,80,No,,,,24,No: one is dead,Father,65,40,65,,,,,"No, all four are dead.",Grandmother 1,70,10,5,Grandmother 2,85,20,55,Grandfather 1,35,5,0,Grandfather 2,45,10,0,Occasionally,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,"£30,000 - £39,999",2,Strongly agree,No,4,59cbdc1045ca220001197406,,
2020-12-30 19:37:45,2020-12-30 19:42:24,IP Address,84.66.75.116,100,278,True,2020-12-30 19:42:24,R_2BnYRTkHKxZBDHW,,,,,52.424102783203125,-1.84039306640625,anonymous,EN-GB,"Yes, I consent to participate.",5c5a11aff95e1600012399c8,Female,22,In 12 months,In 12 months,In 12 months,Today,,Today,,,,,,,,,,,,,,,,,,,,,,,,,,81,Within the past year,No,69,52,81,No,,,,37,Yes,,,,,,,,,"No, one is dead",Grandmother 1,67,73,81,,,,,,,,,,,,,Frequently,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,"Less than £10,000",6,Strongly agree,No,10,5c5a11aff95e1600012399c8,,
2020-12-30 19:36:27,2020-12-30 19:42:30,IP Address,81.158.165.16,100,363,True,2020-12-30 19:42:30,R_1GDKlzcmZnsRean,,,,,51.5240936279296875,-2.56610107421875,anonymous,EN-GB,"Yes, I consent to participate.",5e5533d92d3b4a0009806de9,Female,42,Today,,,,,,,,,,,,,,,,Today,In 12 months,Today,Today,,,,,,,,,,,,82,Within the past year,No,91,74,85,Yes,25,Yes,4,,Yes,,,,,,,,,"No, three are dead.",Grandfather 1,70,74,29,Grandmother 1,75,61,100,Grandfather 2,>90,18,94,,,,,Very rarely,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,"£40,000 - £49,999",6,Strongly disagree,No,4,5e5533d92d3b4a0009806de9,,
